2022-03-27 11:01:03.888 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:18-Z:16 X = 1195940.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:03.897 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:19-Z:16 X = 1196100.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:03.900 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:18-Z:17 X = 1195940.000000, Y = 0.000000, Z = 5465870.000000
2022-03-27 11:01:03.902 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:19-Z:17 X = 1196100.000000, Y = 0.000000, Z = 5465870.000000
2022-03-27 11:01:03.905 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:20-Z:16 X = 1196260.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:03.907 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:20-Z:17 X = 1196260.000000, Y = 0.000000, Z = 5465870.000000
2022-03-27 11:01:04.755 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:9-Z:8 X = 1195940.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:04.758 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:8-Z:8 X = 1195620.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:04.760 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:9-Z:9 X = 1195940.000000, Y = 0.000000, Z = 5466030.000000
2022-03-27 11:01:04.762 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:20-Z:16 X = 1196260.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:04.765 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:0-X:20-Z:17 X = 1196260.000000, Y = 0.000000, Z = 5465870.000000
2022-03-27 11:01:05.055 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:4-Z:4 X = 1195620.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:05.057 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:4-Z:3 X = 1195620.000000, Y = 0.000000, Z = 5465070.000000
2022-03-27 11:01:05.060 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:4-Z:5 X = 1195620.000000, Y = 0.000000, Z = 5466350.000000
2022-03-27 11:01:05.062 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:1-X:10-Z:9 X = 1196260.000000, Y = 0.000000, Z = 5466030.000000
2022-03-27 11:01:05.083 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:4-X:0-Z:1 X = 1193060.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:05.086 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:3-X:2-Z:3 X = 1195620.000000, Y = 0.000000, Z = 5466990.000000
2022-03-27 11:01:05.088 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:3-X:0-Z:1 X = 1193060.000000, Y = 0.000000, Z = 5464430.000000
2022-03-27 11:01:05.090 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:3-X:1-Z:1 X = 1194340.000000, Y = 0.000000, Z = 5464430.000000
2022-03-27 11:01:05.117 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:4-X:0-Z:0 X = 1193060.000000, Y = 0.000000, Z = 5463150.000000
2022-03-27 11:01:05.119 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:6-Z:4 X = 1196900.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:05.121 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:7-Z:4 X = 1197540.000000, Y = 0.000000, Z = 5465710.000000
2022-03-27 11:01:05.124 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:6-Z:5 X = 1196900.000000, Y = 0.000000, Z = 5466350.000000
2022-03-27 11:01:05.126 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:2-X:7-Z:5 X = 1197540.000000, Y = 0.000000, Z = 5466350.000000
2022-03-27 11:01:05.129 DEBUG [16464] [godot::GDN_TheWorld_Globals::debugPrint@129] DEBUG - Debug Mesh - ID: LOD:4-X:0-Z:1 X = 1193060.000000, Y = 0.000000, Z = 5465710.000000
